Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2016-01-14T20:00:00Z,MSFT,48.31282058,2064,Market,Filled,99717.66167712,Warning: No quote information available at 01/14/2016 15:00:00 America/New_York, order filled using TradeBar data 
2016-01-14T20:00:00Z,GOOGL,739.51,134,Market,Filled,99094.34,Warning: No quote information available at 01/14/2016 15:00:00 America/New_York, order filled using TradeBar data 
2016-01-15T15:00:00Z,MSFT,46.52681464,-2064,Market,Filled,-96031.34541696,stop-loss - Warning: No quote information available at 01/15/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-01-15T15:00:00Z,GOOGL,715.31,-134,Market,Filled,-95851.54,stop-loss - Warning: No quote information available at 01/15/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-01-15T16:00:00Z,IAU,21.06,4703,Market,Filled,99045.18,Warning: No quote information available at 01/15/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-01-19T15:00:00Z,UNH,102.504336723,965,Market,Filled,98916.684937695,Warning: No quote information available at 01/19/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-01-25T20:00:00Z,AMD,2.15,46202,Market,Filled,99334.3,Warning: No quote information available at 01/25/2016 15:00:00 America/New_York, order filled using TradeBar data 
2016-01-26T16:00:00Z,AMD,2.04,-46202,Market,Filled,-94252.08,stop-loss - Warning: No quote information available at 01/26/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-01-26T19:00:00Z,JPM,48.94890603,2020,Market,Filled,98876.7901806,Warning: No quote information available at 01/26/2016 14:00:00 America/New_York, order filled using TradeBar data 
2016-01-26T19:00:00Z,IAU,21.66,-4703,Market,Filled,-101866.98,take-profit - Warning: No quote information available at 01/26/2016 14:00:00 America/New_York, order filled using TradeBar data 
2016-01-26T19:00:00Z,MDY,217.21981368,455,Market,Filled,98835.0152244,Warning: No quote information available at 01/26/2016 14:00:00 America/New_York, order filled using TradeBar data 
2016-01-26T19:00:00Z,PYPL,31.91,3099,Market,Filled,98889.09,Warning: No quote information available at 01/26/2016 14:00:00 America/New_York, order filled using TradeBar data 
2016-01-26T21:00:00Z,ATVI,33.9106269,2914,Market On Open,Filled,98815.5667866, 
2016-01-27T15:00:00Z,EBAY,25.71002274,3852,Market,Filled,99035.00759448,Warning: No quote information available at 01/27/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-01-27T16:00:00Z,ATVI,33.064063732,-2914,Market,Filled,-96348.681715048,stop-loss - Warning: No quote information available at 01/27/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-01-27T17:00:00Z,AMD,2.16,45869,Market,Filled,99077.04,Warning: No quote information available at 01/27/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-01-27T17:00:00Z,EEM,26.81934156,3694,Market,Filled,99070.64772264,Warning: No quote information available at 01/27/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-01-27T17:00:00Z,CME,72.130929273,1373,Market,Filled,99035.765891829,Warning: No quote information available at 01/27/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-01-28T15:00:00Z,FB,106.88,914,Market,Filled,97688.32,Warning: No quote information available at 01/28/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-01-28T15:00:00Z,GOOGL,739.99,132,Market,Filled,97678.68,Warning: No quote information available at 01/28/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-01-28T15:00:00Z,AMZN,608.49,160,Market,Filled,97358.4,Warning: No quote information available at 01/28/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-01-28T15:00:00Z,PYPL,33.87,-3099,Market,Filled,-104963.13,take-profit - Warning: No quote information available at 01/28/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-01-28T15:00:00Z,EBAY,22.320536596,-3852,Market,Filled,-85978.706967792,stop-loss - Warning: No quote information available at 01/28/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-01-29T15:00:00Z,AMZN,578,-160,Market,Filled,-92480,stop-loss - Warning: No quote information available at 01/29/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-01-29T15:00:00Z,EEM,27.48345687,-3694,Market,Filled,-101523.88967778,take-profit - Warning: No quote information available at 01/29/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-01-29T15:00:00Z,NVDA,6.951538719,14159,Market,Filled,98426.836722321,Warning: No quote information available at 01/29/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-01-29T20:00:00Z,IAU,21.56,4601,Market,Filled,99197.56,Warning: No quote information available at 01/29/2016 15:00:00 America/New_York, order filled using TradeBar data 
2016-01-29T21:00:00Z,JPM,50.82000221,-2020,Market On Open,Filled,-102656.4044642,take-profit 
2016-02-01T15:00:00Z,IAU,21.74,-4601,Market,Filled,-100025.74,take-profit - Warning: No quote information available at 02/01/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-02-01T21:00:00Z,MDY,220.37438128,-455,Market On Open,Filled,-100270.3434824,take-profit 
2016-02-02T15:00:00Z,GOOGL,802.95,-132,Market,Filled,-105989.4,take-profit - Warning: No quote information available at 02/02/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-02-02T15:00:00Z,AMD,2.06,-45869,Market,Filled,-94490.14,stop-loss - Warning: No quote information available at 02/02/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-02-03T17:00:00Z,IAU,21.98,4493,Market,Filled,98756.14,Warning: No quote information available at 02/03/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-02-04T15:00:00Z,IAU,22.3,-4493,Market,Filled,-100193.9,take-profit - Warning: No quote information available at 02/04/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-02-04T17:00:00Z,CME,70.65516789,-1373,Market,Filled,-97009.54551297,stop-loss - Warning: No quote information available at 02/04/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-02-04T21:00:00Z,PYPL,36.84,2659,Market On Open,Filled,97957.56, 
2016-02-05T15:00:00Z,NVDA,6.76332898575,-14159,Market,Filled,-95761.975109234,stop-loss - Warning: No quote information available at 02/05/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-02-05T16:00:00Z,PYPL,35.12,-2659,Market,Filled,-93384.08,stop-loss - Warning: No quote information available at 02/05/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-02-08T15:00:00Z,IAU,23,4217,Market,Filled,96991,Warning: No quote information available at 02/08/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-02-08T16:00:00Z,FB,99.99,-914,Market,Filled,-91390.86,stop-loss - Warning: No quote information available at 02/08/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-02-11T15:00:00Z,IAU,23.8,-4217,Market,Filled,-100364.6,take-profit - Warning: No quote information available at 02/11/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-02-12T15:00:00Z,PYPL,34.13,2850,Market,Filled,97270.5,Warning: No quote information available at 02/12/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-02-12T16:00:00Z,FB,102.59,947,Market,Filled,97152.73,Warning: No quote information available at 02/12/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-02-12T16:00:00Z,SQ,9.44,10296,Market,Filled,97194.24,Warning: No quote information available at 02/12/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-02-12T17:00:00Z,MSFT,45.63834468,2123,Market,Filled,96890.20575564,Warning: No quote information available at 02/12/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-02-12T17:00:00Z,MA,82.176900148,1179,Market,Filled,96886.565274492,Warning: No quote information available at 02/12/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-02-12T21:00:00Z,PFE,22.756823305172,4293,Market On Open,Filled,97695.042449104, 
